Well,Code,MD5-lite,Nic,Zach,Eric
A0001,ICCNZY,3f31e4ff8f3ba8b932c7f349cd715482,2,2,1
A0002,YJLHVQ,76bc6697f9e06f9a66ede2e115f90bff,3,2,4
A0003,SQTDTO,7e67431d427c22855e3355476d268593,4,3,4
A0004,DEKRVT,15a3fb2e81a8d73f3ccc3aa2981cbd3d,0,1,2
B0001,ZXSERT,63485612accbdac83cefbde0d521f214,0,3,4
B0002,FPTLBL,a8867f1ba09e81a95b42347a855c2285,3,4,3
B0003,DRZLKR,dd902216f77af96f0b7f55a07662af08,5,5,5
B0004,ZKNKEQ,5b110d491c1ce70d3c0cbde5e2e71839,3,4,4
C0001,GWKNSC,e02f17777d068a47e481fc487c59ad56,4,1,2
C0002,NXQQKH,7d58e66d814eb1c8af466430b3a539a4,4,3,3
C0003,VOVWYQ,cbe3ee1d9990bc4c02467b0fed3fda1a,5,3,4
C0004,BSMCHU,52adece1af7295f3ca361c6f2053a6f0,4,4,4
D0001,JEMXHI,bad81dea5e1d9494cadb7f81cf9da8b8,1,2,3
D0002,KGDTDL,28db521bc43b90a0cb28281a0c239d1b,3,3,4
D0003,XJOYNP,287140cc97356edc64540fac4d9e50b8,5,5,4
D0004,XTXCBP,9bb9548567fb21f181d3b9dc0e536185,1,3,3
E0001,RCBPQY,c84d8eed8bd3b161d1cbc3f5afcb1747,0,2,2
E0002,DXEQNV,87adfbb50a4bdd41d97726b4c120d4f4,2,4,3
E0003,VVRIHA,2da8284cc0983a3d89571f2dad8323fa,2,3,3
E0004,EZCJYS,7bf99d7efee86b3640e4213d00d8b7a3,0,2,2
F0001,GVNPLG,aea02bf8007adfb8f10238ed228a766f,1,4,3
F0002,LNXQEN,74f2a7368b0d53c645bab2dd9432424c,0,0,1
F0003,ZFKISO,049a2077d496b78db27b42ff2de32a2c,1,1,2
F0004,FXHYFA,6b4463ee469b34ac80492aa0c64b2908,1,1,3
