* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = D:\Documents and Settings\Talaat\Desktop\Zamanian\Nic\20191023.eds
* Experiment Run End Time = 2019-10-23 13:53:42 PM CDT
* Instrument Type = steponeplus
* Passive Reference = ROX

[Sample Setup]
Well	Sample Name	Sample Color	Biogroup Name	Biogroup Color	Target Name	Target Color	Task	Reporter	Quencher	Quantity	Comments
F5	ZAM14B	"RGB(213,244,165)"			Y45F10D.4	"RGB(255,191,168)"	UNKNOWN	SYBR	None		
F6	ZAM14B	"RGB(213,244,165)"			Y45F10D.4	"RGB(255,191,168)"	UNKNOWN	SYBR	None		
F7	ZAM14C	"RGB(96,255,160)"			Y45F10D.4	"RGB(255,191,168)"	UNKNOWN	SYBR	None		
F8	ZAM14C	"RGB(96,255,160)"			Y45F10D.4	"RGB(255,191,168)"	UNKNOWN	SYBR	None		
F9	ZAM17A	"RGB(132,193,241)"			Y45F10D.4	"RGB(255,191,168)"	UNKNOWN	SYBR	None		
F10	ZAM17A	"RGB(132,193,241)"			Y45F10D.4	"RGB(255,191,168)"	UNKNOWN	SYBR	None		
F11											
F12											
G1	ZAM17B	"RGB(168,255,222)"			Y45F10D.4	"RGB(255,191,168)"	UNKNOWN	SYBR	None		
G2	ZAM17B	"RGB(168,255,222)"			Y45F10D.4	"RGB(255,191,168)"	UNKNOWN	SYBR	None		
G3	ZAM17C	"RGB(223,221,142)"			Y45F10D.4	"RGB(255,191,168)"	UNKNOWN	SYBR	None		
G4	ZAM17C	"RGB(223,221,142)"			Y45F10D.4	"RGB(255,191,168)"	UNKNOWN	SYBR	None		
G5											
G6											
G7					OSM-9	"RGB(139,189,249)"	NTC	SYBR	None		
G8					TAX-4	"RGB(208,243,98)"	NTC	SYBR	None		
G9					OCR-1/2a	"RGB(244,165,230)"	NTC	SYBR	None		
G10					Y45F10D.4	"RGB(255,191,168)"	NTC	SYBR	None		
G11											
G12											
H1											
H2											
H3											
H4											
H5											
H6											
H7											
H8											
H9											
H10											
H11											
H12											
