Well,Total.Motility,Normalization.Factor,Normalized.Motility
A0001,11222652.974250365,14781,759.2620914857158
A0002,17914234.15257502,11444,1565.3822223501415
A0003,16764754.37315494,21810,768.6728277466731
A0004,4016454.837910822,1769,2270.466273550493
B0001,63453965.50269544,40169,1579.6750106474008
B0002,52896407.37670313,37795,1399.560983640776
B0003,89177428.59541103,57720,1545.0004954159915
B0004,44057110.38748008,36961,1191.9891341543812
C0001,52225338.61502136,39306,1328.6861704325386
C0002,92948404.0553411,56260,1652.1223614529167
C0003,68498631.59957,49143,1393.8634515509839
C0004,53101278.82342853,41577,1277.1791813605726
D0001,43487033.6619463,49763,873.8828780810301
D0002,54854385.10334685,36485,1503.477733406793
D0003,75270910.58217019,48748,1544.0820255635142
D0004,48032470.401587665,39955,1202.1641947587952
E0001,57056611.44242396,49873,1144.0380855858673
E0002,39449856.810383536,34962,1128.3638467588678
E0003,48631024.301302835,37275,1304.6552461784797
E0004,43400037.94717825,35590,1219.4447301820246
F0001,38675676.97442706,37775,1023.8432024997236
F0002,48523233.1383154,35208,1378.1877169482902
F0003,29768105.447495893,24171,1231.5628417316575
F0004,16966380.519440897,12468,1360.794074385699
