NAM_mM,1,2
0,62.5,68
0.00005,50,68
0.0005,66.66666667,70.83333333
0.005,72.72727273,72
0.05,78.26086957,80
0.5,80.76923077,62.5
5,100,96
50,84,88
250,0,0
