Well,Total.Motility,Normalization.Factor,Normalized.Motility
A0001,33675163.39248844,22224,1515.2611317714382
A0002,36718791.84556126,14206,2584.738268728795
A0003,37656577.343656346,14677,2565.6862671974072
A0004,33343489.107685596,13990,2383.3802078402855
A0005,33239760.6983763,16079,2067.277859218627
B0001,38128773.897855476,20371,1871.7183200557397
B0002,40136722.934583515,16391,2448.7049560480455
B0003,37256617.47236748,14993,2484.934134087073
B0004,40117511.93950894,17939,2236.32933494113
B0005,34184229.51970689,12620,2708.7345102778836
C0001,33465209.557824593,15111,2214.625740045304
C0002,40868616.164242975,16525,2473.138648365687
C0003,46946281.38957873,18402,2551.1510373643478
C0004,41058057.54835637,18257,2248.893988517082
C0005,29070715.433659934,14389,2020.343000462849
D0001,33852271.73002065,17044,1986.1694279523967
D0002,36733495.49309388,14015,2621.0128785653856
D0003,41519831.05307498,17884,2321.618824260511
D0004,28225194.544694707,12594,2241.162025146475
D0005,32166714.061476003,16230,1981.929393806285
E0001,34484058.07929774,14197,2428.967956561086
E0002,36229106.42168582,15836,2287.7687813643483
E0003,35167891.13849034,14344,2451.749242783766
E0004,38684614.99643674,16506,2343.6698774043825
E0005,30320384.864048656,13341,2272.722049625115
F0001,28031721.86191079,16967,1652.131894967336
F0002,32685859.854247462,16273,2008.5945956029902
F0003,28673078.550876096,15944,1798.3616752932826
F0004,30999196.458666947,17507,1770.6743850269577
F0005,28103215.34663252,14616,1922.7706175856952
