Well,Total.Motility,Normalization.Factor,Normalized.Motility
A0001,14797481.544087451,13883,1065.8706003088273
A0002,8272735.313198132,8047,1028.0521080151773
A0003,15794685.711080061,18344,861.0273501461002
A0004,3655120.4662641725,2047,1785.5986645159612
B0001,76015895.06067988,40715,1867.0243168532454
B0002,104206566.3870893,38474,2708.4931742758563
B0003,155462203.1102499,55967,2777.7476568379566
B0004,81323972.84510122,42980,1892.135245349028
C0001,63878183.66629568,28967,2205.205360109631
C0002,152683702.71272412,61959,2464.269964213821
C0003,150011437.4457546,63974,2344.881318125404
C0004,94484214.57077216,37480,2520.9235477794064
D0001,70726313.9185709,34624,2042.6962199217567
D0002,74576379.7926568,32898,2266.8970695074713
D0003,137885114.37399954,52755,2613.688074571122
D0004,96606075.6725947,37734,2560.186454460028
E0001,72686390.90027891,45644,1592.4632131337944
E0002,67559306.44074294,29751,2270.824726588785
E0003,72299781.22291508,30877,2341.5416401501143
E0004,74488372.97779684,36289,2052.6433072776003
F0001,47684647.535729304,36743,1297.7886273774407
F0002,50082405.111042656,29854,1677.5777152489668
F0003,40377648.9878195,22941,1760.0649050965303
F0004,21726431.12923044,8886,2445.0181329316274
