Well	Sample Name	Target Name	Task	Reporter	Quencher	Ct	Ct Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Comments	AMPNC	HIGHSD
C12	Bp L3 37C 4 HR	OSM-9	UNKNOWN	SYBR	None	26.1009	28.122	1.6675				true	0.0643	true	3	23	81.4448				N	Y
D1	Bp L3 FRESH	TAX-4	UNKNOWN	SYBR	None	30.7217	30.4267	0.3274				true	0.1379	true	3	26	78.3001				N	N
D2	Bp L3 FRESH	TAX-4	UNKNOWN	SYBR	None	30.6414	30.4267	0.3274				true	0.1379	true	3	26	79.7576				N	N
D3	Bp L3 RT 4 HR	TAX-4	UNKNOWN	SYBR	None	30.2267	30.0536	0.4876				true	0.1379	true	3	25	77.3882				N	N
D4	Bp L3 RT 4 HR	TAX-4	UNKNOWN	SYBR	None	30.3161	30.0536	0.4876				true	0.1379	true	3	26	77.5642				N	N
D5	Bp L3 37C 4 HR	TAX-4	UNKNOWN	SYBR	None	29.9689	29.9998	0.1213				true	0.1379	true	3	25	76.4357				N	N
D6	Bp L3 37C 4 HR	TAX-4	UNKNOWN	SYBR	None	30.0791	29.9998	0.1213				true	0.1379	true	3	26	77.8732				N	N
D7	Bp L3 FRESH	TAX-4	UNKNOWN	SYBR	None	30.6838	30.4267	0.3274				true	0.1379	true	3	25	76.7758				N	N
D8	Bp L3 FRESH	TAX-4	UNKNOWN	SYBR	None	30.4747	30.4267	0.3274				true	0.1379	true	3	25	78.2137				N	N
D9	Bp L3 RT 4 HR	TAX-4	UNKNOWN	SYBR	None	30.3169	30.0536	0.4876				true	0.1379	true	3	25	77.1219				N	N
D10	Bp L3 RT 4 HR	TAX-4	UNKNOWN	SYBR	None	30.5767	30.0536	0.4876				true	0.1379	true	3	25	78.5622				N	N
D11	Bp L3 37C 4 HR	TAX-4	UNKNOWN	SYBR	None	30.1377	29.9998	0.1213				true	0.1379	true	3	25	78.7135				N	N
D12	Bp L3 37C 4 HR	TAX-4	UNKNOWN	SYBR	None	30.0873	29.9998	0.1213				true	0.1379	true	3	25	77.6333				N	N
E1	Bp L3 FRESH	TAX-4	UNKNOWN	SYBR	None	30.0555	30.4267	0.3274				true	0.1379	true	3	25	79.5833				N	N
E2	Bp L3 FRESH	TAX-4	UNKNOWN	SYBR	None	29.9831	30.4267	0.3274				true	0.1379	true	3	25	77.2059				N	N
E3	Bp L3 RT 4 HR	TAX-4	UNKNOWN	SYBR	None	29.4505	30.0536	0.4876				true	0.1379	true	3	25	77.3963				N	N
E4	Bp L3 RT 4 HR	TAX-4	UNKNOWN	SYBR	None	29.4344	30.0536	0.4876				true	0.1379	true	3	25	76.2906				N	N
E5	Bp L3 37C 4 HR	TAX-4	UNKNOWN	SYBR	None	29.8962	29.9998	0.1213				true	0.1379	true	3	25	77.7079				N	N
