Well	Well Location	Target	Reporter Dye	Reading 1	Reading 2	Reading 3	Reading 4	Reading 5	Reading 6	Reading 7	Reading 8	Reading 9	Reading 10	Reading 11	Reading 12	Reading 13	Reading 14
30	C6	OSM-9	SYBR	2834.7603	2786.8298	2668.3616	2679.647	2667.3396	2960.9792	3526.1252	20717.0254	609.8433	469.3926	457.8105	425.0947	359.8574	359.8553
31	C7	OSM-9	SYBR	3683.3618	3328.2986	3162.783	3070.2998	2852.3813	3116.0496	3757.6797	20545.4551	485.4851	463.8008	447.2027	377.8267	349.4594	349.4575
32	C8	OSM-9	SYBR	3746.8965	4134.7642	4458.791	4565.1807	4729.1094	4962.9165	6114.0659	30616.9629	740.7957	703.4265	682.275	609.4107	519.7963	519.7929
33	C9	OSM-9	SYBR	2321.5996	2466.5056	3185.6982	3758.7822	3931.1689	4543.8438	6548.1421	31349.9707	640.7416	646.2127	629.0564	581.8829	486.2222	486.2193
34	C10	OSM-9	SYBR	2970.3188	2898.908	3030.0127	3852.7593	3911.3774	4760.7109	7163.3281	33485.8984	623.4392	626.1883	571.2043	588.7568	520.1899	520.1871
35	C11	OSM-9	SYBR	1473.9919	1668.7561	1579.1826	1629.5471	1933.6716	1669.8372	3324.269	14615.5713	389.6102	353.8807	369.7099	343.9361	290.2083	290.2103
36	C12	OSM-9	SYBR	1286.4808	1299.5504	1305.5864	1461.1556	1560.1617	1508.2142	2722.719	12878.3877	306.4898	307.85	260.9379	257.7275	232.9774	232.9774
37	D1	TAX-4	SYBR	1485.8992	1601.1635	1412.1263	1321.4048	1281.3762	1713.6935	5457.9438	9022.1719	445.4818	442.024	388.0302	348.4266	326.6829	326.6849
38	D2	TAX-4	SYBR	3025.8499	2516.8523	1814.7927	1845.2582	1956.6541	2401.7222	8095.3828	10256.2637	572.8275	547.4528	477.4228	458.391	395.0446	395.0447
39	D3	TAX-4	SYBR	2117.7561	2142.2837	1821.6908	1625.9188	1824.5308	2177.0479	8689.9209	8361.2451	544.0224	522.0726	454.2283	412.1442	391.8641	391.8618
40	D4	TAX-4	SYBR	2789.7356	2295.8467	2103.4734	1869.3214	2065.946	2334.4497	11387.7891	7459.7607	582.6759	547.18	502.2754	456.367	417.3707	417.3682
41	D5	TAX-4	SYBR	2925.8865	2510.7095	2916.1572	2077.9502	2575.4619	2954.1743	14670.2871	8977.5459	753.1213	689.8885	646.144	563.6144	505.6986	505.7019
42	D6	TAX-4	SYBR	2345.1218	1705.2716	1837.557	1712.2914	1801.899	2178.7742	12585.5859	4846.0254	551.0633	488.3284	448.8362	413.6572	360.1601	360.158
43	D7	TAX-4	SYBR	3419.3208	3057.1724	2917.4814	2444.1956	2849.8223	3330.2822	18834.4668	2404.3254	688.2643	618.9436	590.3383	558.5754	466.0426	466.0399
44	D8	TAX-4	SYBR	3124.7705	3165.0415	2934.2734	2631.6248	2891.9846	3651.8745	20455.8438	1714.4006	729.0187	642.9485	599.9633	585.7809	480.4642	480.4673
45	D9	TAX-4	SYBR	2636.6562	2775.4192	2627.6433	2783.5007	3130.1538	4516.9995	24353.5293	1619.598	985.8913	887.0502	876.9866	757.1363	679.9412	679.9412
46	D10	TAX-4	SYBR	2573.4275	2402.2896	2246.377	2376.8411	2998.4385	4195.2217	24979.7461	1168.0831	907.7919	806.8908	806.912	694.5787	657.8218	657.8256
47	D11	TAX-4	SYBR	1083.8062	1327.3951	1121.0199	1062.4656	1469.4778	1739.9224	11580.6553	403.0171	350.732	331.2299	314.7985	289.6807	244.8199	244.8182
48	D12	TAX-4	SYBR	1369.0159	982.2711	1234.4987	1229.6724	1373.9641	2157.4495	10745.5996	395.0909	374.9887	360.111	321.5096	302.8962	293.0732	293.0733
49	E1	TAX-4	SYBR	1820.0867	1914.8866	1578.0139	1531.1879	1548.7854	1874.7413	7272.353	9116.665	436.1176	471.1272	426.66	385.1613	353.4228	353.4228
50	E2	TAX-4	SYBR	2205.3765	2227.9097	2016.525	1661.7007	1908.6907	2278.3262	9038.627	8855.3242	568.8459	541.2189	458.0073	463.095	390.549	390.5511
51	E3	TAX-4	SYBR	1729.3284	1708.252	1534.5782	1406.6903	1484.7369	1794.4166	9820.6367	5307.0283	467.5546	435.4008	376.4683	360.4956	326.1646	326.1664
52	E4	TAX-4	SYBR	3067.6477	3158.8032	2713.0225	2649.0239	2723.0562	3367.9399	16943.6797	6289.9224	714.4565	640.55	609.8182	521.5131	490.6668	490.6699
53	E5	TAX-4	SYBR	2827.5315	2297.0312	2698.5852	2052.7571	2578.2178	2833.2473	17808.7324	5470.3999	771.4846	687.67	669.5266	589.2625	483.8714	483.8741
54	E6	TAX-4	SYBR	2565.1184	2362.1155	1941.2501	1917.896	1994.7563	2423.6414	14504.4766	2728.1177	558.567	489.9438	449.2137	402.1876	353.8279	353.83
55	E7	GAPDH	SYBR	1674.2167	1296.8965	1020.61	734.1957	679.979	629.8969	591.5392	491.7135	435.2091	373.5334	359.8137	275.4401	268.6663	268.6679
56	E8	OSM-9	SYBR	1888.6511	1520.8724	1164.1141	950.248	836.7629	939.5485	911.1902	796.7551	733.2072	563.7526	620.6961	532.4232	449.6107	449.613
57	E9	TAX-4	SYBR	3272.3303	2902.51	2976.5215	3379.0496	4077.0347	5732.3398	36629.3438	1048.0518	515.8142	436.9487	438.6356	334.2589	287.9328	287.933
