Well,Total.Motility,Normalization.Factor,Normalized.Motility
A0001,31698136.472693183,10918,2903.2914886145068
A0002,30965456.41929359,10393,2979.453133772115
A0003,30385691.661458943,12580,2415.396793438708
A0004,35192169.20884314,14741,2387.3664750588932
A0005,27263707.77807053,6352,4292.145431056444
B0001,31347147.345639925,9683,3237.3383605948493
B0002,33444619.223498166,11989,2789.608743306211
B0003,30212922.47177997,11607,2602.9915113104134
B0004,37199721.79269837,10928,3404.0741025529255
B0005,22721252.220470693,4629,4908.458029913738
C0001,28201972.586224064,9413,2996.0663535773997
C0002,28461222.719345834,13562,2098.6007019131275
C0003,36881686.0993334,14925,2471.1347470240134
C0004,28180870.661635853,5621,5013.4977159999735
C0005,29235838.654878728,4380,6674.84900796318
D0001,27633774.063583765,7242,3815.76554316263
D0002,30854310.763616618,12824,2405.9818125090937
D0003,36550163.53159468,9729,3756.826347167713
D0004,22850927.18770873,5759,3967.863724207107
D0005,26351059.270191137,5376,4901.610727342101
E0001,24882678.100904413,11893,2092.212065997176
E0002,26756457.33092778,9203,2907.362526450916
E0003,25133255.64206618,10701,2348.6828933806355
E0004,29727098.56598822,13267,2240.67977432639
E0005,19449918.65048926,5680,3424.281452550926
F0001,25133229.649910815,6305,3986.2378508978295
F0002,25259292.810380466,6822,3702.622810082156
F0003,25154795.35669618,10697,2351.5747739269123
F0004,27555436.128686883,2986,9228.210357899157
F0005,19439911.19831942,11196,1736.3264735905163
