Well,Total.Motility,Normalization.Factor,Normalized.Motility
A0001,17614144.81774742,20949,840.8107698576267
A0002,60118756.96042141,52864,1137.2343553348483
A0003,33999594.33227553,40513,839.2267749185578
A0004,36602587.010794096,50692,722.058451250574
B0001,41585629.4880349,33295,1249.0052406678149
B0002,60425235.25880381,48138,1255.2502234991857
B0003,50500682.78230576,42171,1197.5215855043932
B0004,63304720.59226699,48313,1310.3040712078941
C0001,39159035.43919178,33264,1177.219680110383
C0002,35534407.72489599,32068,1108.095538383934
C0003,50659216.80079679,44432,1140.15162047166
C0004,69022859.46777219,49882,1383.7227751046908
D0001,25885993.919145536,27787,931.5864943731074
D0002,59065612.166236855,49272,1198.7662803668788
D0003,59031823.95780848,52078,1133.5270931642629
D0004,40613245.41011496,29403,1381.261960007991
E0001,61933181.09006793,51122,1211.4780542636815
E0002,60926036.111408554,47800,1274.6032659290493
E0003,46149816.98518106,35262,1308.7691278197794
E0004,39107396.699952565,30807,1269.4321647662077
